State,Sector,Consumption
 Punjab,Public water works & sewage pumping,327.98
 Rajasthan ,Public water works & sewage pumping,1238.34
 Tamil Nadu,Public water works & sewage pumping,897.0
 Tripura,Public water works & sewage pumping,35.28
 Uttara Khand,Public water works & sewage pumping,217.38
 Uttar Pradesh,Public water works & sewage pumping,831.92
 West Bengal ,Public water works & sewage pumping,533.67
 D. & N.Haveli,Public water works & sewage pumping,9.82
 Daman & Diu,Public water works & sewage pumping,1.05
 Delhi,Public water works & sewage pumping,187.79
 Puducherry ,Public water works & sewage pumping,23.59
 Andhra Pradesh,Miscellaneous  ,721.39
 Assam,Miscellaneous  ,347.1
 Chhattisgarh,Miscellaneous  ,898.2
 Gujarat,Miscellaneous  ,36.71
 Haryana,Miscellaneous  ,507.35
 Himachal Pradesh,Miscellaneous  ,280.34
 Jammu & Kashmir,Miscellaneous  ,725.21
 Karnataka,Miscellaneous  ,874.92
 Kerala,Miscellaneous  ,37.0
 Madhya Pradesh,Miscellaneous  ,1527.97
 Maharashtra,Miscellaneous  ,106.12
 Manipur,Miscellaneous  ,41.24
 Meghalaya,Miscellaneous  ,115.46
 Mizoram,Miscellaneous  ,11.36
 Nagaland,Miscellaneous  ,18.2
 Orissa,Miscellaneous  ,354.35
 Punjab,Miscellaneous  ,519.15
 Rajasthan ,Miscellaneous  ,609.05
 Sikkim ,Miscellaneous  ,66.87
 Tripura,Miscellaneous  ,0.92
 Uttara Khand,Miscellaneous  ,0.84
 Uttar Pradesh,Miscellaneous  ,40.21
 West Bengal ,Miscellaneous  ,1609.44
 A. & N. Islands,Miscellaneous  ,26.76
 Chandigarh,Miscellaneous  ,83.24
 Daman & Diu,Miscellaneous  ,8.28
 Delhi,Miscellaneous  ,553.1
